topology,failure_fraction,survival_rate
SW-Ring,0.0,1.0
SW-Ring,0.05,1.0
SW-Ring,0.1,1.0
SW-Ring,0.15,1.0
SW-Ring,0.2,0.9998
SW-Ring,0.25,1.0
SW-Ring,0.3,1.0
SW-Ring,0.35,1.0
SW-Ring,0.4,0.9967
SW-Ring,0.45,0.9953
SW-Ring,0.5,0.9942
SW-2DTorus,0.0,1.0
SW-2DTorus,0.05,1.0
SW-2DTorus,0.1,1.0
SW-2DTorus,0.15,1.0
SW-2DTorus,0.2,1.0
SW-2DTorus,0.25,0.9991
SW-2DTorus,0.3,0.9989
SW-2DTorus,0.35,0.998
SW-2DTorus,0.4,0.9906
SW-2DTorus,0.45,0.9844
SW-2DTorus,0.5,0.9656
SW-3DHexTorus,0.0,1.0
SW-3DHexTorus,0.05,1.0
SW-3DHexTorus,0.1,1.0
SW-3DHexTorus,0.15,1.0
SW-3DHexTorus,0.2,1.0
SW-3DHexTorus,0.25,1.0
SW-3DHexTorus,0.3,0.9991
SW-3DHexTorus,0.35,0.9973
SW-3DHexTorus,0.4,0.9969
SW-3DHexTorus,0.45,0.9909
SW-3DHexTorus,0.5,0.9844
CamCube,0.0,1.0
CamCube,0.05,1.0
CamCube,0.1,1.0
CamCube,0.15,1.0
CamCube,0.2,1.0
CamCube,0.25,0.9998
CamCube,0.3,0.9975
CamCube,0.35,0.9964
CamCube,0.4,0.9909
CamCube,0.45,0.9753
CamCube,0.5,0.963
