topology,traffic,pkt_size_B,n_nodes,avg_latency_us,agg_bw_Gbps,delivery_ratio,fault_frac,flows
SW-Ring,uniform,64,512,378.472,0.188416,1,0,512
SW-Ring,local,64,512,310.226,0.188416,1,0,512
SW-Ring,mapreduce,64,512,121.096,0.187662,1,0,1536
SW-Ring,uniform,1024,512,4201.11,2.1545,1,0,512
SW-Ring,local,1024,512,3442.08,2.1545,1,0,512
SW-Ring,mapreduce,1024,512,1283.7,2.14588,1,0,1536
SW-2DTorus,uniform,64,512,488.113,0.188416,1,0,512
SW-2DTorus,local,64,512,394.291,0.188416,1,0,512
SW-2DTorus,mapreduce,64,512,115.205,0.187662,1,0,1536
SW-2DTorus,uniform,1024,512,5424.11,2.1545,1,0,512
SW-2DTorus,local,1024,512,4384,2.1545,1,0,512
SW-2DTorus,mapreduce,1024,512,1258.51,2.14588,1,0,1536
SW-3DHexTorus,uniform,64,512,532.11,0.188416,1,0,512
SW-3DHexTorus,local,64,512,432.268,0.188416,1,0,512
SW-3DHexTorus,mapreduce,64,512,150.172,0.187662,1,0,1536
SW-3DHexTorus,uniform,1024,512,5914.43,2.1545,1,0,512
SW-3DHexTorus,local,1024,512,4804.31,2.1545,1,0,512
SW-3DHexTorus,mapreduce,1024,512,1653.78,2.14588,1,0,1536
CamCube,uniform,64,512,657.111,0.188416,1,0,512
CamCube,local,64,512,551.087,0.188416,1,0,512
CamCube,mapreduce,64,512,172.185,0.187662,1,0,1536
CamCube,uniform,1024,512,7291.23,2.1545,1,0,512
CamCube,local,1024,512,6130.85,2.1545,1,0,512
CamCube,mapreduce,1024,512,1895.48,2.14588,1,0,1536
CDC,uniform,64,512,7161.09,0.116047,0.61591,0,512
CDC,local,64,512,2233.56,0.188416,1,0,512
CDC,mapreduce,64,512,1158.93,0.187662,1,0,1536
CDC,uniform,1024,512,79542.3,1.31765,0.611582,0,512
CDC,local,1024,512,24899.4,2.1545,1,0,512
CDC,mapreduce,1024,512,12165.1,2.14588,1,0,1536
CDC,uniform,64,512,7161.09,0.116047,0.61591,0,512
CDC,local,64,512,2233.56,0.188416,1,0,512
CDC,mapreduce,64,512,1158.93,0.187662,1,0,1536
CDC,uniform,1024,512,79542.3,1.31765,0.611582,0,512
CDC,local,1024,512,24899.4,2.1545,1,0,512
CDC,mapreduce,1024,512,12165.1,2.14588,1,0,1536
CDC,uniform,64,512,7161.09,0.116047,0.61591,0,512
CDC,local,64,512,2233.56,0.188416,1,0,512
CDC,mapreduce,64,512,1158.93,0.187662,1,0,1536
CDC,uniform,1024,512,79542.3,1.31765,0.611582,0,512
CDC,local,1024,512,24899.4,2.1545,1,0,512
CDC,mapreduce,1024,512,12165.1,2.14588,1,0,1536
