# Time(s)  TotalGoodput(Gbps)  ActiveFlows  JainFairness
1 18.4897 20 0.999741
2 18.9145 20 0.999989
3 18.9262 20 0.999997
4 18.9285 20 0.999997
5 18.9212 20 0.999997
6 18.9242 20 0.999994
7 18.9177 20 0.999992
8 18.9236 20 0.999997
9 18.927 20 0.999995
10 18.9245 20 0.999995
11 18.9233 20 0.999998
12 18.9251 20 0.999996
13 18.9239 20 0.999998
14 18.9272 20 0.999997
15 18.922 20 0.999997
16 18.9268 20 0.999998
17 18.9286 20 0.999999
18 18.9197 20 0.999996
19 18.9174 20 0.999995
20 18.9354 20 0.999998
21 18.9287 20 0.999998
22 18.9291 20 0.999999
23 18.925 20 0.999999
24 18.9328 20 0.999999
25 18.9146 20 0.999996
26 18.9256 20 0.999995
27 18.9245 20 0.999997
28 18.9216 20 0.999996
29 18.9269 20 0.999996
30 18.9229 20 0.999998
31 18.9283 20 0.999998
32 18.9297 20 0.999999
33 18.9212 20 0.999999
34 18.9327 20 0.999999
35 18.919 20 0.999998
36 18.9311 20 0.999997
37 18.9235 20 0.999999
38 18.9284 20 0.999996
39 18.9222 20 0.999997
40 18.9244 20 0.999997
41 18.9261 20 0.999998
42 18.9257 20 0.999999
43 18.9289 20 0.999998
44 18.9269 20 0.999998
45 18.9179 20 0.999999
46 18.9309 20 0.999997
47 18.9264 20 0.999998
48 18.9244 20 0.999996
49 18.9254 20 0.999997
50 18.925 20 0.999997
51 18.9241 20 0.999996
52 18.9187 20 0.999994
53 18.925 20 0.999996
54 18.9222 20 0.999998
55 18.9244 20 0.999998
56 18.9338 20 0.999999
57 18.9173 20 0.999997
58 18.9286 20 0.999995
59 18.9243 20 0.999997
60 18.9265 20 0.999998
61 18.9267 20 0.999997
62 18.9284 20 1
63 18.932 20 1
64 18.9238 20 0.999998
65 18.9206 20 0.999995
66 18.9283 20 0.999997
67 18.9171 20 0.999994
68 18.9282 20 0.999998
69 18.9222 20 0.999997
70 18.9278 20 0.999997
71 18.9294 20 0.999998
72 18.919 20 0.99990 173 18.9263 291 18.9301 74 1892 18.9332 75 1893 18.9325 20 1
94 18.9295 20 1
95 18.9272 20 0.999999
96 18.931 20 1
97 18.926 20 0.999999
98 18.9343 20 1
99 18.9288 20 1
100 18.9293 20 1
101 18.922 20 0.999997
102 18.9379 20 0.999999
103 18.9281 20 0.999999
104 18.9286 20 1
105 18.936 20 1
106 18.9285 20 1
107 18.9276 20 0.999999
108 18.9305 20 1
109 18.9318 20 1
110 18.934 20 1
111 18.9262 20 1
112 18.9316 20 0.999999
113 18.9289 20 0.999999
114 18.9305 20 1
115 18.9334 20 1
116 18.9243 20 0.999999
117 18.9324 20 0.999999
118 18.9291 20 0.999999
119 18.9287 20 0.999999
120 18.9332 20 1
121 18.9262 20 1
122 18.9365 20 1
123 18.9265 20 1
124 18.932 20 1
125 18.9319 20 1
126 18.9308 20 1
127 18.9288 20 1
128 18.9256 20 0.999999
129 18.9326 20 0.999999
130 18.9285 20 1
131 18.9314 20 1
132 18.935 20 1
133 18.9305 20 1
134 18.9187 20 0.999998
135 18.9366 20 0.999999
136 18.9311 20 1
137 18.9297 20 1
138 18.9308 20 0.999999
139 18.9294 20 0.999998
140 18.928 20 0.999999
141 18.9317 20 1
142 18.9287 20 1
143 18.9291 20 1
144 18.9282 20 0.999999
145 18.9327 20 1
146 18.9322 20 1
147 18.9338 20 1
148 18.9272 20 1
149 18.9353 20 1
150 18.9263 20 1
151 18.9323 20 1
152 18.9303 20 1
153 18.9243 20 0.999999
154 18.9342 20 0.999999
155 18.9317 20 1
156 18.9264 20 0.999999
157 18.9318 20 0.999999
158 18.9302 20 1
159 18.9259 20 1
9997
131 18.928 20 0.999997
132 18.9237 20 0.999996
133 18.9235 20 0.999996
134 18.9242 20 0.999997
135 18.9189 20 0.999998
136 18.9289 20 0.999997
137 18.9324 20 0.999998
138 18.9266 20 0.999999
139 18.9302 20 1
140 18.9244 20 0.999998
141 18.9336 20 0.999999
142 18.925 20 0.999998
143 18.9236 20 0.999998
144 18.9234 20 0.999998
145 18.929 20 0.999998
146 18.9225 20 0.999999
147 18.9269 20 0.999997
148 18.9212 20 0.999997
149 18.9334 20 0.999998
150 18.9238 20 0.999998
151 18.9266 20 0.999999
152 18.9289 20 0.999999
153 18.925 20 0.999998
154 18.9243 20 0.999997
155 18.9207 20 0.999997
156 18.9213 20 0.999996
157 18.9225 20 0.999992
158 18.9192 20 0.999994
159 18.9325 20 0.999998
